"FSC.A","FSC.Width","SSC.A","B525.FITC.A","R712.APCA700.A","V450.PB.A","Y585.PE.A","Y763.PC7.A","R660.APC.A","Time"
646612,1549.61,508798,34999.9,58.7282,77211.5,19096.8,6365.21,4240.8,2.27773
879125,1554.19,814924,17534.5,16509.9,77030.5,5767.37,-4805.03,9682.68,2.2817
661786,1487.71,330252,42334.2,617.07,75500.2,21939.3,4338.84,10142.2,2.28448
891296,1558.48,532039,56836.4,874.569,77130.9,28812.5,3879.31,8314.6,2.30823
947266,1817.11,690561,59372.8,1196.56,127433,49619.7,11320.3,14458.8,2.31325
890298,1473.43,592461,56000.4,794.592,81466.7,21890.5,5608.29,6532.43,2.32859
1240000,1957.75,814149,44495.6,29931.3,95869.1,33278.1,27428.4,4334.16,2.33739
692673,1464.5,416073,22394,2979.44,53269.4,28336.5,6027.12,2569.06,2.35378
1090000,1974.63,496934,22406.6,16327.2,42362.9,17427.1,4467.96,5620.89,2.35536
582717,1463.8,384322,34673.8,396.471,21757.3,10509.4,2727.81,1182.42,2.35626
1030000,2247.87,845702,92750.2,663.869,98955.1,30540.2,10249.8,3417.31,2.36634
679775,1573.66,650631,58116.1,962.934,79292.9,38173.4,21785.4,12387.2,2.36827
1750000,1664.85,1220000,46143.2,5568.08,98314.5,40622.3,7554.59,5331.19,2.38133
1390000,1787.1,1350000,38632.4,-1543.96,76108.9,20532,11126,4237.7,2.39229
620670,1537.26,615229,47266,1.36536,91571.1,40092.2,7202.08,7344.53,2.39324
773376,1626.95,431154,30669.3,7063.93,61530.8,21491.5,13749.3,2016.48,2.4183
894361,1543.37,549896,40932,468.427,50878.8,29266.1,15219.5,2786.44,2.42161
1080000,2589.56,855621,60450.6,1226.01,88022.4,37611.4,34830.5,2833.69,2.4235
953849,2214.67,638663,33635.9,562.845,55925.2,31233.3,14933.9,5349.03,2.42792
809463,1723.9,397191,26606.8,1000.42,59335.3,22376.9,6559.6,7764.58,2.44403
799262,1916.51,518005,41800,8403.66,64576,13294.2,2705.07,1713.85,2.45151
639606,1819.45,573435,53512.2,703.986,21343.5,6318.69,1073.34,3093.61,2.46749
868167,2147.02,703970,46231,1398.8,93543.9,33059.2,4885.04,6511.46,2.48799
815983,1474.72,471542,50784.6,1142,88942.2,52860.6,11286.8,8178.88,2.48826
983099,1654.85,743575,60322,735.815,71603.8,67608.7,25067.5,5349.41,2.49599
988418,1640.55,1020000,29464.3,529.091,30952.4,5887.96,5826.56,644.941,2.50115
906694,1666.29,574942,51705.4,985.736,82096.1,26135.1,13336.4,9528.17,2.54147
864251,1720.73,705270,47362.2,61526.8,68058.6,32913.5,11749,4833.52,2.56563
789705,1704.88,726711,46148.2,40.0636,54972.2,20646.7,1264.71,1877.82,2.65062
848917,1446.93,684587,57008.3,902.1,93057.1,30042.4,6254.77,9606.54,2.69528
1020000,1923.41,695809,129556,3971.68,118274,56765.4,14826.2,10701.2,2.70908
695071,1969.52,811352,45396.9,1487.05,169970,102647,62562.4,9764.25,2.72047
914668,1627.98,526676,49770.3,-272.723,12308.5,1673.18,-428.952,247.993,2.74632
670165,1668.73,491055,44446.8,407.669,78958,21789.6,3743.51,6321.43,2.77465
673631,1846.98,594210,65545.4,577.694,98222.3,45537.9,8896.84,14132.9,2.81709
611315,1491.52,436192,50416.9,-123.405,32070.2,21631.5,4169.05,1991.62,2.82853
658623,1910.74,680105,80983,2379.51,101192,37716.3,13266.9,7787.43,2.834
789595,1579.81,666830,50381.5,8947.65,49427.4,34899.7,4682.73,4909.58,2.84572
967649,1815.08,642971,72044.9,2855.06,134466,36869.3,17670.1,17395.3,2.9906
823086,1635.06,463426,70860.6,336.669,67204,27110.4,8867.5,10682.9,3.08805
1180000,1728.44,463554,11151.9,2437.42,49547.6,2550.79,127.623,1297.01,3.15171
859904,2144.65,746650,58322.6,1905.4,149214,60350.7,11050.6,16785.5,3.8296
569493,1697.01,447106,33559.7,666.855,62237.3,30551,6038.99,3787.8,3.83705
1150000,1590.46,1e+06,63360.2,30001,105162,29125.6,9796.77,6047.05,3.83832
806101,1693.02,646695,46277.9,601.541,62187.3,19209.6,6199.51,3484.05,3.83943
570656,1458.25,423284,54237.7,11873.3,81027.9,26275.1,15588.5,4354.43,3.84515
1640000,1705.74,1330000,83677.9,717970,91769.5,37944,-4010.46,4995.02,3.85233
1280000,2223.53,833909,57737.9,253.516,115308,34452.7,4696.05,5721.42,3.85751
924698,1567.08,575938,10749,328.152,12710,5575.98,466.217,520.785,3.85784
1300000,1805.49,769580,28726.3,158.174,87609.3,21161.1,6048.12,7525.97,3.86226
719491,1503.44,409257,54941,282167,52576.5,77024.2,2557.92,1271.62,3.86296
1040000,1850.27,400984,19995,-142.87,29561,3528.74,2571.64,2379.32,3.86415
1280000,1781.42,503043,58319.7,440.908,14590.1,3173.63,-115.254,872.236,3.86754
1030000,1848.6,774516,46558.1,1119.79,35673.2,20302.2,36070.6,1359.12,3.87079
784745,1637.23,530212,29916.1,1305.88,75779.4,25692.7,17837.5,3323.62,3.87569
593812,1661.52,585835,16434.9,536.793,25818.8,6157.81,2720.59,822.355,3.87951
773056,1634.29,512168,31796.3,2683.29,48600.8,26766,5208.88,3491.22,3.88054
871151,1605.21,549770,55466.9,1076.08,64443.6,49857.6,12342.3,11391.9,3.88222
667021,1814.44,766322,59866.1,658.537,199710,120772,109460,8864.74,3.88282
1390000,2432.35,972698,58673.7,2061.25,81736.7,25627.6,14560.6,11680.2,3.88385
652911,1897.44,529703,48055.4,7510.17,75599.4,30227,5489.83,7560.23,3.88397
1240000,2498.53,1090000,98404.9,2331.83,230686,104483,24758.7,18056,3.88823
1290000,2611.99,1190000,67407.3,15357.9,168378,56068,16879.7,8387.81,3.88825
1230000,2038.88,822747,54045.8,409.899,136773,25077,8761.25,5276.31,3.89094
828422,1825.97,557596,15547.9,2290.38,71386.3,41561.1,23077,5674.61,3.89259
1470000,2015.85,632044,60090.9,787.324,84597.8,28890.9,10371,13468.8,3.8944
1220000,1774.43,1160000,54275.3,1051.5,124387,64534.2,8414.86,17828.7,3.89466
707723,1396.12,470821,32780.7,10471.3,61014.3,30362,5094.41,9570.76,3.89699
781724,1638.54,671335,42840.5,244.629,81018.7,20255.8,5348.96,2836.1,3.89703
630744,1658.01,575735,15524.7,641.266,16320.9,5336.91,1728.69,891.533,3.8974
975741,1638.14,596350,56895.2,1481.86,59204.8,18426.2,2817.42,3836.27,3.8976
760249,1654.51,550440,47083.3,4005.07,78435.7,27994.2,6543.63,11153.4,3.89769
574126,1624.44,359714,23289.3,1123.17,51055.4,13701.2,5535.65,2052.96,3.8982
1090000,2672.2,961647,68689.3,1093.62,140274,35079.7,99426.8,4693.91,3.89837
542927,1558.24,428449,39442.5,1078.81,47894.2,15958.9,6568.94,2689.23,3.89962
1300000,1956.51,928883,79262.8,810.475,101347,33042.7,33381,6468.95,3.89989
1510000,1770.3,963743,57082.7,3760.39,103113,35469.1,7785.48,12481.8,3.90034
1080000,1703.19,742442,58315,1257.03,93075.7,45122.4,8011.71,15670.2,3.90098
693917,1734.93,310694,29983,375.005,28175.7,21734.7,2844.41,4029.34,3.90201
818068,1648.5,686860,45231.8,1734.08,140457,41738.3,21076.5,9778.35,3.90283
1390000,2246.92,977250,40312.6,-87.9312,50974.9,33012.9,5424.17,6684.41,3.90316
1200000,1600.42,555517,50021,-222.349,20823.6,3855.9,-991.622,717.727,3.90412
799719,1478.18,529482,28570.1,80272.1,60489.3,20459.3,18563.8,5217.71,3.90414
770783,1729.03,733900,36864.2,241.013,62798.3,22669.7,8638.29,9735.54,3.90451
771099,1593.23,561679,53621.1,1858.51,53434,36563.8,15731.5,5058.73,3.90486
863181,1831.38,699535,35883.7,1230.41,82389.8,34644,7788.45,7464.96,3.90488
612484,1739.32,325412,25462.1,331.469,71182.8,11413.5,2510.67,1653.6,3.90762
1020000,1886.29,719512,43669.1,129.577,118438,34074.4,20927.8,7975.2,3.90764
