"FSC.A","FSC.Width","SSC.A","B525.FITC.A","R712.APCA700.A","V450.PB.A","Y585.PE.A","Y763.PC7.A","R660.APC.A","Time"
849562,2092.15,715488,51444,-176.056,149446,34769.7,27205,12889.6,1.35784
1180000,1999.16,866722,47064.2,953.822,136397,30809.6,27328.2,4211.16,1.36949
887814,1661.14,542517,43324.4,647.467,58342.7,36214.9,4489.34,12749.8,1.37035
511809,1561.32,486358,28388.2,-111.071,38486.9,10790.4,8767.35,1253.8,1.37249
661537,1454.68,403365,49407.9,154.374,57357,21612.1,5063.41,4289.38,1.37822
1040000,1582.6,645511,68744.2,92.0428,86783.8,33754.9,7905.15,11056.9,1.38391
800266,1744.77,996830,91964.8,-387.573,61387.2,16150.7,6434.29,4245.58,1.38618
1310000,1784.87,644118,71506,577.038,110296,35280.5,4939.91,15569,1.38687
739094,1419.29,493014,36606.1,-55.7062,49764.8,15062.3,5180.53,1996.75,1.39075
925094,1394.03,1110000,340.664,1.14436,6280.67,35.2357,-36.0012,124.958,1.39854
877255,1935.64,507570,17434.6,5318.64,31599.9,7346.59,1389.14,2431.02,1.40478
768508,1462.95,570393,43689.4,203.921,53086.6,22556.7,16820.7,6333.65,1.42122
1230000,1869.9,716754,60914.8,996.754,96931.9,29179.2,15678.1,19869.4,1.42536
1070000,1848.46,645002,75384.1,4903.72,69885.8,33643.9,17978.9,5410.5,1.43273
1310000,1935.68,1050000,67960.2,-727.047,127351,58195,31435.3,10112,1.44368
774742,2069.9,617699,85110.2,910.892,99063.1,36856.2,9633.1,9257.39,1.44796
929084,1524.61,692474,74164,3916.13,75459.1,37428.6,54383.6,9909.58,1.45812
863171,1705.16,691204,54670.3,286.463,108736,37514.1,9992.58,9517.12,1.46077
1020000,1555.05,558123,50406.1,858.181,81164,24304.3,6954.63,14380.4,1.46422
891650,1460.32,820037,24204.2,5046.02,29879,9464.31,4126.67,1484.2,1.46593
608413,1689.34,546113,51312.8,1740.53,43459.2,33993.8,13015.6,3772.52,1.46903
686788,1712.15,690598,52306,8669.53,106372,36317.6,55647.1,11944.5,1.47175
688814,1666.22,595911,41152.2,2530.11,39687,28236.7,29239.1,6558.13,1.47248
1040000,1826.74,650746,46755.7,2087.93,58199.1,34538,35122.8,16038.4,1.47395
734602,1625.11,546794,62179.8,981.68,66334.5,33325,15158,9705.79,1.48984
1120000,2176.83,863053,45054.7,27256.6,66171.6,42130,5267.25,7856.32,1.49618
1170000,2277.57,708263,68613.5,-105.123,68566,32058.2,7288.13,15673.8,1.49653
659866,1610.07,453704,39654.3,124.214,41795.6,24333.9,10901.8,3639.09,1.49875
1010000,1832.77,657448,45195.9,-222.404,75323,14204.5,1076.85,1523.64,1.51016
766980,1738.88,682586,44920,-100.54,67397.2,20216.3,20327,3470.98,1.51169
768225,1459.74,388910,31638.8,369.603,52675.9,17872.5,11044.1,6840.28,1.51248
1250000,1699.46,935332,117337,968.428,115356,43815.6,96101.4,19806.8,1.51265
761158,2057.23,741435,111388,-311.842,99140.3,50792.4,9555.3,23250.2,1.52327
724143,1574.62,596832,66693.8,537.091,71025.7,22996,40301.5,2788.79,1.5246
1170000,2019.16,1100000,44634.1,20471.2,77200.1,30921.4,54315.6,17650.7,1.52784
1020000,1711.91,641916,39638.1,44.7843,59082.7,21091.1,5113.78,13163.6,1.53853
667302,1594.54,388859,62263,656.229,46006.5,35233.3,6106.03,6089.3,1.54379
1140000,1948.77,854743,36562.9,-469.118,42075.3,11868.7,6993.79,1961.67,1.55552
632521,1759.64,761274,19239.2,320.304,32969.9,10630,5085.17,1796.9,1.55846
987640,2374,793110,44376.7,35.6932,68696.5,31215,5621.31,10004.9,1.55889
896840,1785.7,480015,51256.5,516.126,82627.8,25189,14274.1,3784.25,1.5603
925126,1611.89,667082,64482.2,657.284,99121,47402.1,15182.1,14912.3,1.58891
1160000,1815.26,660095,76413.6,1161.17,153649,49962.9,7730.61,20851,1.59336
1170000,2293.14,428748,16814.1,-27.4875,36321.4,7132.21,3787.09,2439.42,1.60032
