HA,p38,pAKT,pCREB,pERK,pS6,variant_ID,variant_ID_num
7166.89,22584.6,2838.2,10219.9,5496.34,-2606.33,WT_1,1
669821,138545,47801.6,40117.6,33725.6,25548,WT_1,1
6332.02,23110.5,10418.6,14750.7,9814.13,1333.94,WT_1,1
922488,195065,55096.8,45195.9,37593.6,14126.2,WT_1,1
16110,14795.1,6123.04,10979.6,5312.62,1555.73,WT_1,1
1077530,232086,90434.9,67786.6,30028.6,56627.9,WT_1,1
9177.2,18013.5,8434.7,10240.2,8239.75,9424.48,WT_1,1
803781,157893,57537.9,40043.2,29487,46363.9,WT_1,1
1045470,327698,179782,46934.4,75159.3,56791.3,WT_1,1
13302.6,26954.5,4632.04,18668,3633.34,1524.3,WT_1,1
15795.9,17876.2,3147.67,11767.2,5006.7,3843.37,WT_1,1
609216,61109.2,15223.7,11195,14445.4,13695.8,WT_1,1
4068.43,24887.5,6660.83,5368.95,4767.85,449.406,WT_1,1
16789.3,22681.4,2937.19,11290.1,8766.47,800.115,WT_1,1
597997,68530.3,21311.2,7284.14,7091.58,4735.64,WT_1,1
6700.04,26697,5034.91,7265.08,2158.67,3234.86,WT_1,1
11054.7,23212.6,7767.91,12044.2,12102.8,1525.75,WT_1,1
379.677,36262.9,5373.5,1285.12,1745.87,498.608,WT_1,1
4675.57,30505.4,5799.56,6281.68,1417.22,-158.639,WT_1,1
13548.3,15019.7,10337.8,10052.4,7283.61,3731.32,WT_1,1
578023,66818.8,25121.7,11905.9,23336.4,-3452.62,WT_1,1
9051.65,29866.5,6584.16,9325.26,799.315,3680.1,WT_1,1
17603.6,15696.9,5588.65,4873.48,4849.92,4592.31,WT_1,1
1489.12,27921.2,8086.1,2585.07,1284.13,-1413.96,WT_1,1
14570.1,19933.5,8952.62,2271.82,4377.28,-356.573,WT_1,1
14274.6,10431.7,9829.49,11829.7,4157.78,3223.36,WT_1,1
14272.6,13062.4,4043.89,4802.19,6405.45,1153.81,WT_1,1
13145,20942,13823.4,6178.99,9424.55,-131.544,WT_1,1
11141.4,17900.7,11403,10274.9,8366.5,3422.05,WT_1,1
3586.58,28129.7,2707.45,1549.62,1646.48,577.958,WT_1,1
10083,22298.5,4276.53,12677.1,5642.59,-1482.29,WT_1,1
17829.7,18294.4,9764.24,7656.53,6373.1,-1861.84,WT_1,1
13170.6,19545.4,7964.63,11003.9,7978.34,6540.91,WT_1,1
4647.82,24686.9,8360.93,8037.52,4181.47,759.938,WT_1,1
13210.7,14746,9055.06,4119.51,6571.3,3910.39,WT_1,1
1162730,369077,150388,102305,58503.3,51419.6,WT_1,1
10843.9,20960.7,7660.78,7274.06,9540.28,2944.16,WT_1,1
18657.8,16600,3963.28,9922.59,14018.5,-1390.9,WT_1,1
897182,166110,59740,34422.4,30456.7,30027.6,WT_1,1
15748.3,16812.4,7793.03,8685.85,3061.87,1457.73,WT_1,1
2889.24,29520.5,8663.4,4099.24,3216.16,4083.06,WT_1,1
956638,193617,106349,63085.1,23978.1,52258.1,WT_1,1
618928,97722.7,40299.3,29779.3,34163.1,10071.7,WT_1,1
607057,66727.3,23387,17816.2,16229.6,3100.09,WT_1,1
13235.2,16191.2,4481.93,12205.8,6162.79,4387.83,WT_1,1
736312,100964,44725.5,18638.3,25585.7,1520.69,WT_1,1
17307.8,17853.2,4546.77,8793.75,7440.14,-1112.42,WT_1,1
18850.1,14418.4,11113.4,4876.64,5255.02,949.322,WT_1,1
9947.3,20613.2,6192.17,7821.77,7356.72,-380.044,WT_1,1
9133.98,28010.5,6473.18,5759.33,5710.16,355.4,WT_1,1
7553.6,22764.5,7512.13,3866.62,3546.58,128.299,WT_1,1
17263.6,13046.4,7995.97,3584.46,6026.98,1979.76,WT_1,1
11290.2,15124.2,7736.34,14069.8,3043.59,1380.37,WT_1,1
3335.26,27481.9,4099.91,11190.3,1884.31,754.646,WT_1,1
1150230,379155,113613,102093,10649.6,121406,WT_1,1
1002740,197087,57061.3,59584.8,71468.6,26391.2,WT_1,1
15143.7,23816.5,9449.25,6605.72,5010.74,1301.72,WT_1,1
10098.3,20928.9,8196.76,8874.32,10380,3514.41,WT_1,1
1192990,208260,81509.4,64886.9,73097.4,57059.2,WT_1,1
961351,160089,70997.8,38771.4,39037.6,9355.76,WT_1,1
9438.66,26581.5,6871.62,12485.5,4377.68,1327.52,WT_1,1
676784,86737.4,33887.4,8385.88,7842.05,13415.2,WT_1,1
1164.44,24895.4,229.857,10261.3,4849.15,1055.53,WT_1,1
13419,15211.2,3588.92,11729.5,11445.1,-2566.39,WT_1,1
7798.87,27337.9,2009.01,6164.06,3385.09,-2028.95,WT_1,1
717368,87009.2,30460.8,22153,15235.5,17038.4,WT_1,1
628178,64159.5,27309.6,15420.5,16316.4,3411.58,WT_1,1
10833.3,17866.7,8164.22,4930.14,3948.19,1794.16,WT_1,1
2974.43,24527.5,11390.4,2240.52,2846.22,767.46,WT_1,1
6377.83,20107.7,7804.24,13142.1,11442,4854.89,WT_1,1
767577,106825,38509.9,9465.82,8345.93,54311.7,WT_1,1
7288.99,23397.3,3111.99,13857.5,2752.47,-370.843,WT_1,1
877950,130329,56985.2,29744.2,43182.9,16531.4,WT_1,1
8010.06,21063.3,7609.58,11519.2,10284.4,9058.44,WT_1,1
12365.3,22397.4,7786.56,5659.62,4541.71,2129.01,WT_1,1
6084.49,28988.8,5511.01,6050.86,1562.5,2912.68,WT_1,1
