"ArAr80Di","BCKG190Di","Ba138Di","Bi209Di","Ce140Di","Ce142Di","Center","Cs133Di","Eu151Di","Eu153Di","Event_length","Gd156Di","Ho165Di","I127Di","Ir191Di","Ir193Di","Lu175Di","Lu176Di","Offset","Pb207Di","Pb208Di","Pt195Di","Pt196Di","Residual","Rh103Di","Xe131Di","Time"
77.0741,0,967.36,1.46401,2.89491,0,552.508,0,0,3.70222,15,0,0,1.95123,0,0,0,0,94.446,0.566137,16.7912,0.122292,2.30434,141.628,0,0,4.36303
84.7749,0,1005.43,0.802367,0.56826,1.30183,550.719,0,0,2.84234,13,0,0.085049,7.10456,0,0.386541,0,0,106.372,9.30235,12.5743,0,0,110.599,0,0.862737,4.43543
136.022,0,0,0.278866,3.80022,0,0,159.587,0,1.68722,20,0.329228,0,14.3813,44.1435,114.866,0.067335,0,0,15.0956,72.61,0.465444,0,0,0,2.74035,4.48021
97.322,0,2543.06,0.328472,1.73575,0,549.324,0,0,11.4889,14,0,0,9.10787,2.75425,13.8421,0,0,98.716,11.6067,40.8871,65.0689,70.5016,50.601,0,0,4.52654
55.7558,0,664.243,0.840359,0.866015,0,448.752,0,1.99214,928.479,14,0,0,3.11636,437.482,942.682,0,0,75.065,6.38272,22.9951,7.74468,8.74977,87.156,0,0,4.55314
143.72,0,3636.11,1.41098,8.62333,1.24126,849.111,0,0,0.003317,19,0,0,4.0862,0,0,0,0,98.769,16.2836,30.4967,0,0,78.62,0,0,4.56265
110.78,0,559.36,0,0.386908,0,504.081,0,8.85692,1128.5,14,0,0,1.1055,366.322,619.581,0,0,77.121,9.75088,31.8847,0,1.78521,66.946,0,0,4.56314
135.351,0,634.442,0.887297,8.39798,4.25702,679.913,0,8.67626,1496.71,19,0,0,7.39275,646.19,1040.99,0,0,67.091,15.8371,48.1464,156.263,118.854,82.685,2.84504,0.774278,4.68833
112.66,0,848.024,0,5.91187,0.952045,738.533,1.74896,0,0,16,0,0,2.32897,0,1.86669,0,0,123.788,4.59991,15.8282,0,0,167.928,0,0,4.76168
99.5718,0,172.391,0,0.76459,0,578.59,0,0,3.04756,13,0,1.46411,2.70703,0,0,0,0,36.106,0,9.21305,0,0,229.376,0,0,5.1679
75.7831,0,277.642,0,0.396663,0.909462,0,0,0,1.54649,11,0,0,3.08081,0,0,0,0,0,0,7.84932,0,0,0,0,0,5.20178
125.549,0,504.341,1.49616,2.25183,0,630.525,0,8.25476,1427.1,15,0.408902,0,3.07553,463.021,988.281,0,0,58.734,3.98707,32.5694,4.12225,5.12519,54.64,0,0,5.28875
68.405,0,252.527,0,0,0,392.845,0,3.53676,18.2365,11,0,0,2.56277,6.7225,16.7402,0,0,42.149,1.4928,11.2917,2.05598,11.6576,143.826,0,0.33611,5.39068
81.6292,0,111.962,0.172402,0.239897,0,0,0,1.85136,2.86225,12,0,0,1.67258,1.56607,4.07489,0,0,0,0.430387,3.5672,24.7245,26.5947,0,0,0.276583,5.51152
96.2256,0,668.558,0,0,0,407.369,0,0,0,13,0,0,4.80879,0,0.864106,0,0,94.009,5.47155,16.3851,0,0,162.815,0,0,5.56596
135.395,0,724.174,0,9.98109,3.93316,664.218,0,9.89809,1632.86,17,0.387963,0,7.76002,705.879,1259.89,0.929479,0,69.229,8.78216,39.5328,5.68152,10.6831,65.897,0,0.016265,5.57313
63.8479,0,218.086,0,0.860365,0,0,0,0,2.09565,11,0,2.33933,0.411171,0,0,0,0,0,0,1.17853,3.20802,2.08811,0,0,1.41723,5.61772
95.0619,0,502.985,0,1.54219,0,537.317,0,14.7885,2479.6,14,0.353413,0,3.47825,691.48,1198.27,0.274555,0,66.118,3.73186,19.0154,7.8954,7.07279,61.792,0,0,5.6413
91.6696,0,4146.83,0.184277,1.02067,0,598.225,0,1.69404,628.137,15,0,0,8.8032,413.779,729.564,0,0,78.737,30.9429,73.3072,1.87499,1.62403,39.948,0,0.781502,5.68315
