FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
624253,1466.3,568005,21430.4,1806.31,26451.3,8175.67,8738.49,2120.38,1.18444
744240,1470.67,536002,69124.5,598.999,200373,36318.5,26687.7,3891.18,1.18713
733465,1511.71,589011,87479.5,433.275,85402.2,27702.4,12387.8,7262.77,1.18782
940076,1678.45,720714,37595.4,-731.846,56343.5,18169.5,15271.4,5130.9,1.19195
796064,1722.79,491280,47142.1,25.0564,104160,28781.5,59661.8,4477,1.19537
1.12E+06,1861.19,847235,89977.6,1735.62,106563,48475.3,15638,24586,1.19552
1.67E+06,2210.5,1.12E+06,104395,12715.3,130629,65917.2,23113.7,16431.3,1.20372
1.08E+06,2133.93,827515,69679.9,1076.51,103625,27182.9,6982.38,11623.3,1.2113
1.09E+06,1886.34,719227,83144.6,439.416,100700,42503.5,14011.5,13735.9,1.21289
1.09E+06,2120.4,804401,65083,282.534,125301,38490.7,12631.4,15817.7,1.21481
895933,1565.54,1.03E+06,54608.2,1026.16,96182,30917,16215.3,2770.52,1.2203
680388,1822.91,652201,63917.8,1290.82,69933.4,45013.9,7779.64,10184.5,1.22407
1.32E+06,2583.12,1.13E+06,156723,777.56,159596,65429.4,26616.3,27149.5,1.23849
860728,2043.23,557600,45912.5,123.672,52802.8,14921.9,12151.1,1721.91,1.24198
831044,1912.06,483502,47787.6,232.979,61326.5,28553,10329.3,4528.3,1.25555
1.10E+06,1638.8,728329,81549.5,-48.2367,119468,60658,10441.2,14044.1,1.25773
962346,2096.29,896437,73213.3,-33.6596,58843.8,27531.3,31468.8,9960.01,1.26693
788317,1535.49,516032,61510.7,1381.79,72822.8,37067,39465.1,5289.01,1.28221
1.06E+06,1984.5,640004,60682.7,-304.322,49174.2,16490,3110.05,2269.32,1.2857
1.01E+06,2011.71,836875,90344.5,3249.76,86975.2,45817.7,14504.2,6991.54,1.28986
630521,1750.95,539838,35710,77.6707,42908.1,28872.2,11318,1202.66,1.29135
767182,1453.51,751700,40263.4,5951.99,28133.5,10304.5,8346.48,1729.48,1.31258
641031,2026.82,486936,41394.7,84.8352,32550.6,15334.3,11601.2,2142.2,1.3353
844592,1585.65,662333,39802.7,25823.6,47931.6,19713.2,5469.58,2981.53,1.33561
1.08E+06,1706.4,848916,98206.4,500.81,77365.7,37980.1,8378.25,4765.14,1.35458
849562,2092.15,715488,51444,-176.056,149446,34769.7,27205,12889.6,1.35784
1.18E+06,1999.16,866722,47064.2,953.822,136397,30809.6,27328.2,4211.16,1.36949
887814,1661.14,542517,43324.4,647.467,58342.7,36214.9,4489.34,12749.8,1.37035
511809,1561.32,486358,28388.2,-111.071,38486.9,10790.4,8767.35,1253.8,1.37249
661537,1454.68,403365,49407.9,154.374,57357,21612.1,5063.41,4289.38,1.37822
1.04E+06,1582.6,645511,68744.2,92.0428,86783.8,33754.9,7905.15,11056.9,1.38391
800266,1744.77,996830,91964.8,-387.573,61387.2,16150.7,6434.29,4245.58,1.38618
1.31E+06,1784.87,644118,71506,577.038,110296,35280.5,4939.91,15569,1.38687
