FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time,,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A
808488,1618.67,546553,521.45,-399.837,9165.89,79.0185,-518.398,428.722,8.12919,,,,,,,
855171,1744.64,604356,405.505,-232.977,6882.63,158.165,-290.126,229.798,8.13719,,,,,,,
792108,1604.02,553666,495.808,-317.803,7625.81,8.60493,96.2276,390.179,8.1612,,,,,,,
912045,2090.72,756826,149.808,-859.127,8435.11,309.712,-446.3,427.99,8.16262,,,,,,,
1.42E+06,1794.09,729784,458.901,-1070.48,12224.6,449.497,-567.599,518.037,8.16752,,,,,,,
1.73E+06,2140.74,1.34E+06,987.496,-1347.76,20827.2,442.551,-687.282,975.985,8.17022,,,,,,,
1.34E+06,1833.93,855881,616.399,-652.043,12025.4,446.903,-329.946,274.792,8.1731,,,,,,,
1.21E+06,1802.18,812828,494.752,-772.115,12925.3,306.014,-502.907,365.18,8.17332,,,,,,,
1.17E+06,2205.39,843464,573.854,-498.296,12398.9,171.189,-496.624,213.366,8.17854,,,,,,,
1.30E+06,2212.73,1.05E+06,654.844,-595.241,13658.3,177.626,-486.878,89.6676,8.17862,,,,,,,
1.25E+06,2235.65,743807,505.674,-213.75,10853.6,659.731,-417.684,217.421,8.1797,,,,,,,
765140,1538.16,467072,196.567,-101.894,6137.11,184.799,-87.9244,190.751,8.17974,,,,,,,
1.03E+06,1693.46,594273,323.917,-848.414,10957.1,82.2911,170.699,290.971,8.1805,,,,,,,
997849,1741.8,783661,16.8689,104.91,7759.71,72.9522,-26.1231,-7.85814,8.18064,,,,,,,
681024,1767.28,531715,245.681,-334.775,8229.97,279.25,-296.175,317.672,8.18278,,,,,,,
1.54E+06,2539.75,866054,548.002,-880.427,11270.6,337.963,-228.662,769.257,8.18362,,,,,,,
1.43E+06,1775.45,881270,1078.95,-1914.85,18748.2,677.912,-274.789,790.981,8.18686,,,,,,,
1.24E+06,2249.47,859773,614.788,-450.996,9299.83,188.027,-725.721,404.716,8.18804,,,,,,,
1.08E+06,2129.14,834256,550.591,-453.79,10105.4,408.994,-476.494,128.377,8.18824,,,,,,,
781221,2270.94,579424,31.636,-102.709,9306.18,-61.6538,-123.113,16.5548,8.1909,,,,,,,
912002,2326.67,911517,395.6,-1142.66,17464.5,-0.31421,-486.271,486.092,8.19264,,,,,,,
1.67E+06,1873.44,1.16E+06,838.002,-1317.07,20969.1,426.673,-1074.26,766.388,8.1935,,,,,,,
743044,1808.44,489040,263.572,-721.63,4756.59,51.4198,-523.432,365.368,8.1946,,,,,,,
1.39E+06,2172.28,1.29E+06,719.578,-1240.15,16867.2,383.83,-537.125,553.73,8.19518,,,,,,,
527886,1661.65,496808,613.194,-546.03,9026.13,135.226,139.887,306.767,8.19612,,,,,,,
824995,2212.48,705319,324.064,-420.141,5528.48,224.606,-160.451,210.619,8.19688,,,,,,,
1.15E+06,1885.9,725587,470.608,-382.985,9135.8,-95.5136,-224.035,178.157,8.19788,,,,,,,
1.23E+06,2200.45,635527,408.354,-542.431,7519.23,551.402,-148.645,406.502,8.20014,,,,,,,
920684,1785.4,594750,410.678,-443.13,8361.17,24.1339,-35.9929,378.41,8.2028,,,,,,,
1.43E+06,1760.58,872065,1081.23,-1666.77,16448.3,278.297,-1268.31,670.459,8.20452,,,,,,,
1.47E+06,2012.31,651399,622.815,-615.525,8536.43,422.705,-281.14,470.627,8.20746,,,,,,,
883628,1696.81,774064,607.429,-1037.37,11339.4,172.951,-772.315,480.707,8.20804,,,,,,,
948511,2057.89,457801,390.493,-561.084,6291.45,99.9815,6.91603,291.979,8.20894,,,,,,,
861352,2257.94,663415,457.073,-605.421,7282.94,50.4986,-404.704,388.68,8.21148,,,,,,,
960407,1877.48,572773,395.99,-468.085,7873.36,159.906,-297.064,285.387,8.21458,,,,,,,
1.20E+06,2470.59,974834,678.977,-717.443,12323.8,199.645,-649.402,848.724,8.21826,,,,,,,
1.78E+06,1899.24,1.05E+06,898.276,-826.739,15476.4,551.869,-633.55,758.987,8.21866,,,,,,,
1.22E+06,2009.23,754828,373.169,-1079.95,9209.56,69.8408,-412.978,567.13,8.2204,,,,,,,
1.10E+06,2826.38,786696,511.058,-434.932,13868.4,83.8923,-24.3295,240.797,8.22776,,,,,,,
