"FSC-A","FSC-Width","SSC-A","B525-FITC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
157406,1120.76,114781,-120.907,37.1892,9137.44,-65.8315,155.346,33.8015,224.44,-112.475,0.352519
145602,1055.45,60411.2,3.84273,109.697,7035.35,-29.5378,-139.424,-26.5324,-55.7227,-61.1777,0.360222
127056,1058.72,114442,135.319,160.138,6358.67,-136.308,207.603,24.1548,-66.1968,-67.4686,0.360563
248022,1114.39,184003,123.797,10.9067,1954.75,80.7811,344.344,81.2196,-140.968,67.633,0.365785
157010,1076.56,38658.1,312.143,-120.278,2108.77,480.815,340.266,31.4645,102.305,194.147,0.367906
99870.5,998.783,37588.9,-45.3153,272.701,4087.95,-389.589,213.068,75.0415,106.441,-74.8482,0.369046
92071.9,990.593,33202.9,-15.636,-97.9911,4884.16,285.43,-228.908,-65.8476,-84.7612,94.5524,0.370207
131416,1099.14,140698,0.541127,-162.119,2235.72,196.196,87.8038,56.6689,-192.249,53.1723,0.372108
362034,1469.26,331033,12278.4,-256.924,39476,1283.16,6849.78,147.364,4588.42,375.925,0.372848
73346,883.52,443833,-80.8967,-91.426,2404.8,231.902,-109.841,-15.444,-146.252,199.943,0.375789
590369,1292.36,890500,481.767,-1216.84,19198.2,3283.33,1162.68,181.562,2322.53,675.041,0.380972
118552,1045.66,36343.7,14.7421,16.0467,5583.02,-7.14818,125.315,33.1424,28.1175,-31.4997,0.384693
346552,1282.64,68221.3,61.487,9.70118,2502.01,289.755,3851.84,12.8382,-356.513,23.4687,0.396419
171309,1089.67,80106.9,78.2794,38.5484,6431.73,204.613,-116.734,-15.4187,-14.2526,17.3028,0.397039
148579,1076.84,54034.3,188.35,-201.954,2429.29,450.356,194.912,40.194,10.1008,186.774,0.400521
85006.2,972.62,43627.8,-26.4368,-57.1985,4294.42,140.269,-155.604,-23.4574,0.766023,2.88207,0.402081
90585.1,1032.49,70622.5,-25.2482,-25.1139,5266.27,-22.2809,4.94507,1.52256,-201.876,53.4849,0.404923
1.61701e+06,1471.75,7.9315e+06,97.1309,-303.654,37418.9,-38.5922,874.768,89.4702,1140.97,1409.1,0.408084
469682,1227.7,283582,275.046,-181.641,44383.6,355.995,-60.3159,-25.6426,370.008,42.6835,0.408484
151629,1086.64,25383.2,-93.2697,-6.10059,6920.49,100.623,328.305,100.029,-35.0034,-160.769,0.411265
125912,1061.63,70175.2,75.9314,-25.6593,5857.39,-80.7866,165.312,75.1953,-92.1777,52.292,0.415487
245626,1128.22,119542,325.153,-125.253,16666.9,497.408,-228.822,-63.6429,-201.376,83.3501,0.42055
154437,1063.19,33715.6,51.1268,-56.3381,8637.68,338.189,-197.931,-63.1274,-183.588,-6.2565,0.423851
290108,1121.63,218442,166.411,-3.89067,18921.9,-12.2222,247.891,45.5089,-232.049,-24.0262,0.424371
103997,1003.28,77768.8,117.298,-101.955,2015.42,-28.2007,-119.08,-19.5132,11.9445,223.45,0.425912
156347,1110.99,145403,28.8018,842.003,28504.8,191.834,-97.2524,-45.2536,-284.486,23.2222,0.429834
89502.7,994.985,61735.5,125.979,195.513,646.287,-145.226,67.7399,22.3292,62.7206,14.5228,0.440559
75886.9,934.251,15816.2,104.735,136.512,2550.1,-217.579,376.092,61.9072,-45.734,-41.9538,0.445021
79529.3,964.902,19709.9,125.992,-30.3385,1496.53,192.68,-39.3287,39.7692,-200.765,-22.4692,0.450243
121567,1055.74,88222.7,100.369,-148.906,1108.5,301.093,104.193,-19.6124,-166.384,67.7169,0.454185
