FSC-A,FSC-Width,SSC-A,B525-FITC-A,R712-APCA700-A,V450-PB-A,Y585-PE-A,Y763-PC7-A,R660-APC-A,Time
558560,1485.35,412068,63.5009,179.197,5895.78,-193.69,191.181,120.145,6.01107
1.06E+06,1449.81,707360,8272.24,-2423.3,42713.8,3909.28,-3484.24,12377.2,6.01167
620035,1564.01,513243,39827.9,274.771,65969,22564.2,8719.7,6511.24,6.02984
939298,1706.34,846968,25358,-566.424,32620.7,12811.2,1559.26,1077.59,6.09444
868517,2052.93,676906,31093.3,15231.1,23359.8,2834.54,343.917,2071.49,6.10254
723906,1584.66,548365,16276.2,-352.814,31598.6,5232.46,5124.74,480.803,6.10448
960250,1576.99,627888,22866,-202.001,57329.9,15094.5,4519.15,3194.36,6.12043
794398,1569.3,943984,460.763,-330.108,28167.5,200.036,-325.389,305.938,6.13147
746391,1861.11,553146,16490,3960.65,34057,16103.1,3183.77,2399.69,6.13985
979297,1541.2,544310,16655.5,57.3335,49612.3,15115.6,5569.27,4463.46,6.14953
897271,1509.86,596762,52622.8,936.944,22668.5,13995.8,5807.92,1687.19,6.18425
672091,1464.62,463355,42879.6,285.433,68656.9,20328.1,8945.42,6155.01,6.22916
957669,1611.9,636622,4527.56,15900.2,31157.8,1127.27,-250.26,499.121,6.23684
594921,1496.6,547453,227.032,-510.851,21104.7,466.581,-373.026,352.456,6.24566
681165,1516.91,482303,17817.2,-53.4653,56382.5,21281.3,4425.14,4141.03,6.27464
732946,2030.76,781880,718.445,150.518,55454.2,487.971,249.45,173.337,6.29251
1.13E+06,1843.1,820296,5907.13,-137.842,55513.5,2383.53,1128.06,692.799,6.30885
625879,1718.38,420016,37130.8,18096.4,20739.4,14304,3380.04,3102.34,6.33751
1.49E+06,1605.88,1.08E+06,18072.6,-1118.68,29788.6,2614.24,-1387.16,630.279,6.43446
643372,1377,812033,125.995,214.689,18344.2,-68.9795,-25.1694,119.821,6.46035
1.02E+06,1407.53,836337,952.188,-787.01,141906,204.324,-749.642,134.174,6.62514
645040,1868.83,651361,19462.8,90.7526,23080,10229.2,6008.14,1616.01,7.63414
679954,1684,532661,47509.9,1054.64,83481.5,32010,14389.6,5305.41,7.64692
639700,1624.6,379716,8353.79,323.984,14999.5,2779.56,145.059,1125.29,7.65782
1.87E+06,2186.39,1.22E+06,54399.7,-750.12,73871.3,19719.2,15862.6,3102.53,7.66114
997037,1409.16,663717,23448.5,-120.933,36590.9,19571.1,1698.54,3381.6,7.68747
1.41E+06,1727.13,1.33E+06,48884.8,604.446,74316,35034.6,5003.96,6922.22,7.83872
656393,1542.75,500789,26024.1,366.707,31821.8,8206.7,1665.23,940.902,7.84751
1.19E+06,1961.33,934464,71497.8,6573.94,29282.1,7938.18,2066.47,2404.12,7.87463
641511,1933.9,579059,29950.1,-42.6874,61777.5,19755.7,14533.2,3279.03,7.87865
708514,1692.83,624712,24401.2,132.506,61762.3,25580.1,8811.73,6411.04,7.92619
632827,1859.33,405026,15690,393.598,43898.3,29832.7,3340.85,4154.13,7.93904
