FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
518699,339390,189309,1111880,830707,137713,5329.88,239.298,320.011,-217.566,-126.514,553.753,328.858
841722,425492,381092,2153760,1010160,186268,7274.38,-422.985,126.384,43.3184,-284.262,-185.493,66.0874
1063890,631816,546466,3666660,2338480,351242,14554.7,-95.0538,413.189,-415.062,-381.595,-21.2129,544.692
1336320,588357,512996,3678870,1404130,192561,16466.8,604.16,-94.884,10.6515,187.679,-37.7921,456.901
579292,350297,232151,1254420,798878,149025,5475.54,-336.68,390.453,-308.043,589.775,-188.978,149.948
673708,419451,228887,1365870,944340,158617,6651.98,-148.386,280.178,180.579,-245.459,74.2716,382.928
812233,441708,238364,1941660,1090430,130375,6693.61,115.705,286.663,-678.705,659.732,48.7793,-481.777
1187760,574727,706035,3849400,2208750,386551,16363.6,-412.167,-488.359,113.51,237.318,-0.318317,305.993
1199670,636671,331163,1911880,1023600,182265,11296.1,-80.4943,-3.45799,276.399,156.046,193.338,158.241
1132310,563138,431091,2299560,1334300,250101,13100.8,199.664,47.9656,-254.355,-489.38,438.206,561.258
646746,452890,278135,1420620,938086,189864,10033.6,-0.296686,-567.986,177.043,-105.08,114.33,-18.8952
1053550,511662,524056,3547360,2171880,327172,17481.8,934.634,36.6063,-289.381,-68.864,173.873,-144.544
807248,451322,362995,2136680,1233280,216403,7515.25,-305.251,20.6791,-541.104,-167.34,244.486,929.339
752669,461411,348805,1616730,1027790,219154,8935.97,-504.663,-64.2796,-172.408,-157.525,-28.5066,229.805
984384,499373,395249,3130480,1923560,236751,14703.6,1053.43,46.291,-89.0619,-287.859,714.49,130.618
429364,260688,194700,1511630,902381,114401,4243.98,-138.461,291.771,-368.533,-54.669,111.056,-272.338
732450,439228,274570,1294850,664096,153764,5384.85,-71.952,-81.5248,157.063,350.748,-29.2171,478.436
516688,329048,312215,2348900,1517620,210696,6858.77,464.143,103.104,-339.272,-248.542,242.995,-26.7322
1206070,610200,557809,3577520,1832110,295091,13684.5,37.0831,-128.43,-54.062,-274.112,59.2749,313.405
841369,515001,216041,1472040,999223,144622,6473.26,411.437,-214.307,-108.748,234.057,663.564,108.986
1180280,677165,495445,3864510,2352910,311737,22629.8,1794.5,-545.039,111.933,169.569,695.298,-714.022
407225,255426,214462,1988840,1384480,149280,4034.43,200.537,-305.843,-72.6361,71.836,-59.2697,-20.5456
968482,542854,272530,2083360,1075540,142931,7033.68,127.539,381.429,-522.574,201.684,43.4246,202.414
933446,520805,447885,2665850,1757300,288214,13959,-218.727,-91.1414,-290.146,-292.46,348.112,-725.495
1017340,484202,363341,2661450,1471490,212343,6995.55,-243.012,256.386,158.919,213.362,37.456,617.701
894628,485943,261512,1319860,819253,154839,5756.19,-260.215,-39.7014,314.6,-34.3914,-240.296,-312.852
1329400,629847,345291,1675390,1262510,259628,10905.1,-584.408,-372.679,265.437,-174.497,-59.3167,-207.625
1243470,522787,529833,2945650,1131930,200319,14117.1,96.4069,303.389,5.72286,168.511,254.279,-358.571
958227,480657,275334,2541430,1163420,120773,7208.73,94.1063,291.307,-334.6,-219.824,678.437,-22.0273
560628,333043,270278,2193160,1368460,163402,7137.9,3.51723,-1.91789,226.377,238.308,-18.4408,-246.978
902610,475577,330447,2274980,1330400,187952,8104.03,-586.687,-135.387,271.358,-187.642,-155.238,935.088
933978,587906,368016,2236730,1285530,213489,10270.8,-3.41176,-230.658,133.607,-172.104,313.756,779.014
963864,430788,497204,2381240,1134130,235065,10241.7,-80.4991,-111.412,7.25989,47.9592,-420.413,-46.2536
908132,585811,526634,3971220,2401880,305949,12245.9,67.8685,-336.083,602.319,-45.5252,16.2021,37.3305
1294390,645359,503617,2726940,1600800,303281,17453.7,94.2621,-405.301,1082.77,-347.34,-550.96,-443.574
779650,437571,369245,2149040,1154280,202815,8407.67,-268.143,70.1093,150.935,-63.9061,-295.015,18.2862
817403,401488,339157,2108030,1071120,170183,8515.79,-265.26,-116.114,-255.981,-305.609,148.832,198.563
528349,325009,293506,1835700,1262210,214398,6526.21,120.333,-65.6268,41.585,-351.311,-77.5987,-527.28
552656,298818,233033,1394840,848201,143874,6211.41,530.149,-120.227,548.64,-65.1325,-69.8187,-43.7672
1042460,521926,455458,2652650,1259790,212242,9196.61,-702.579,-273.52,-49.8674,280.186,-461.219,-10.6796
1000610,505681,234070,1422340,892310,152461,6402.24,-140.652,-24.9132,-151.807,-289.476,173.034,-431.388
