FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
999240,376224,326875,2084780,826434,134860,5043.69,-429.246,15366.7,-650.08,5.36235,207.735,-129.456
517932,279576,228805,1767200,1121860,145586,1992.97,-161.495,16719.1,237.455,128.081,-310.728,-187.998
525714,292141,301475,1955890,1275680,194668,7011.92,-51.8229,8132,-449.312,260.182,-49.0657,-10.9319
775215,436473,394543,3023530,1787990,241413,8954.96,925.369,12636.5,106.402,196.625,396.923,726.681
768147,411717,304528,2108870,1076310,165164,5087.5,-113.586,10701.3,-157.52,107.881,67.5496,184.76
621248,313887,298845,1857250,1061280,181566,8081.8,544.855,10915.6,130.92,-38.4533,110.64,407.333
662511,331008,326041,2181750,1360230,208857,5264.09,588.866,9260.31,-222.255,361.32,33.7909,-202.408
701077,390770,289866,2026870,1324710,194648,16158.5,676.893,3558.78,219.354,-78.4146,-724.256,1486.77
666238,399069,206874,1462050,810405,115670,4454.76,172.769,2315.93,-305.737,250.906,-99.8538,464.319
739035,389293,475106,3149080,1864460,274941,7279.48,306.204,11648.5,-531.157,-135.391,279.277,898.615
1286180,581157,352289,4194300,2584150,231395,10763.3,3178.75,10659.9,-151.468,1240.93,1789.7,-2185.41
488349,278869,316942,1951120,1284570,202929,4678.26,-79.5914,7345.38,-179.848,-141.315,75.5312,-579.175
885919,445482,363939,2365060,1120080,172170,6217.87,-270.51,9646.75,-156.664,373.98,-348.658,200.647
1194860,690941,474929,3041200,2081820,328222,14733.5,-134.112,8083.83,242.523,-67.6384,142.052,-137.722
682437,414304,220093,1390620,1011410,161147,3067.37,506.173,14110.8,384.152,-124.671,-24.3682,174.469
832394,526362,360141,2745380,1699390,221705,4997.33,475.062,18806.9,-87.9062,383.297,127.894,-326.256
1053750,611637,486551,3258850,2006690,303767,6502.86,-65.4488,20600.5,329.353,-385.656,-276.585,-56.5745
1106030,508673,548663,3794330,2068020,302846,11259.9,475.375,12755.8,-244.579,-22.5029,123.325,-285.944
484360,321529,210247,1209290,850385,149871,4118.7,-588.125,2989.08,-3.62764,427.361,-96.4413,259.69
895676,464680,416688,2951970,1845800,261166,7179.75,75.0844,18218.6,-533.402,-183.684,303.294,-409.299
961803,504285,455038,3158510,1837540,265077,6619.01,30.5027,14574.8,401.92,269.837,-432.41,-432.393
564806,336251,232694,1467320,832793,132080,4474.2,146.929,2693.84,214.546,-75.7625,-321.55,-134.773
542034,341293,187154,1290620,886002,130613,3278.55,479.998,5854.19,566.938,-40.2921,-225.78,-314.91
1035470,484794,413426,2607560,1210770,212575,10082.6,333.575,6139.91,805.903,-197.148,-164.464,183.441
559600,344928,155790,1084750,799259,117466,1639.82,120.03,9616.5,108.949,-287.616,-248.062,169.087
599918,355595,364381,2226770,1216050,190754,6326.6,39.3144,12242.7,293.608,100.471,-353.406,-909.548
744157,376246,230976,1361320,732315,124465,4228.83,-107.792,8188.9,44.6283,5.74389,-165.331,299.084
441102,238800,431230,2492660,1489690,260852,16228,172.022,-273.882,522.682,-28.4775,-103.905,581.628
1055680,369621,446014,2636150,964898,168490,15265.4,194.408,5189.94,272.271,169.956,-244.86,158.166
672544,427531,268034,2037700,1449720,192914,11685,657.257,1194.65,-372.732,253.857,532.417,-392.004
459001,267877,313515,1829690,1109750,192819,6976.6,147.45,7445.75,-268.137,123.395,107.593,106.862
427681,270700,133982,841585,544673,89034,2948.31,-167.501,2110.93,-363.338,-98.6505,170.072,-325.053
702848,411035,297991,2062700,1209430,176334,5472.59,438.76,3989.12,-227.91,17.0392,300.303,347.192
1121290,469801,485798,3587140,1723350,225414,10995.6,193.185,13824.7,-16.5443,-102.038,555.858,-52.8549
578760,398559,252183,1744660,1222740,176188,2565.16,-494.735,15675.5,233.934,-5.61432,-24.2171,-133.943
949208,436734,430617,3099220,1475920,216390,6253.34,193.565,11015.1,-190.106,498.032,231.069,-63.4949
1140840,425364,499387,4194300,1996800,245543,10811.5,637.329,11781.3,-920.927,156.655,385.03,86.9892
1132090,461516,430447,3176360,1471010,207757,8297.71,686.849,10715.2,60.8873,383.125,47.0267,87.4027
612183,352008,226598,1900840,1338720,155503,5155.46,849.972,7209.55,-435.772,-228.652,627.047,148.095
962188,343852,277820,2445450,1049880,138814,8027.92,787.221,5628.4,475.133,322.148,-221.157,182.189
429648,267695,144248,915499,630539,101128,1876.53,354.12,8258.15,-170.44,-185.829,-159.283,159.56
881648,444436,470362,2822720,1796850,301926,7840.1,165.185,7354.92,-192.838,-781.224,-133.38,-20.9133
692583,419552,258859,1595890,1049630,173062,7306.39,52.8443,7157.41,192.308,139.999,66.1625,-536.488
640195,347479,240024,1886950,1157380,138022,3536.87,-25.2849,12507.8,87.4149,-157.84,-302.209,-35.7334
1007490,551443,601942,3766940,1908380,306332,3748.71,349.305,41610.2,200.945,-239.378,167.441,-536.638
1085580,698102,310569,2823550,1784420,194265,12638.6,1495.07,4897.94,35.9891,47.708,861.329,-513.082
746723,453646,222605,1438560,925150,141527,2502.59,927.854,7075.85,322.101,159.656,-18.6085,-328.443
702973,327391,223348,1561600,840129,123378,2175.34,362.969,18907.3,-192.086,109.777,267.384,488.451
692786,389383,543674,3435020,2047630,330617,6306.14,-216.229,22426.8,-532.951,-266.231,77.4738,-203.059
1004920,400385,518729,3082250,1364340,229743,10348,-509.662,10100.5,130.752,-359.108,-25.3715,239.376
761456,474423,306027,1784780,1210820,210071,9150.79,-83.5167,10962.1,-326.165,-707.105,200.767,-35.4953
841529,382209,597546,3311500,1717440,307920,12886.8,-179.429,4610.52,-25.011,-86.0295,-243.527,166.928
1117280,439165,585422,3348860,1354630,234452,12327.5,1.15681,14995.4,189.238,148.969,-481.925,523.447
857871,289119,416502,3749440,1399290,149255,7534.05,467.105,12567.9,664.054,533.064,-374.77,-351.667
1051890,398056,700813,4194300,1903560,282243,10597.9,-237.255,21373.2,404.896,-61.7616,-281.28,-110.849
629508,371135,313252,1818040,1123140,188129,7131.52,-143.24,7928.65,-162.008,474.609,-69.3217,168.345
564252,347808,226017,1391550,978476,161454,1283.21,-158.674,13481.4,-138.49,-17.0585,-50.7212,323.272
799082,503635,442905,2641330,1532130,262219,6921.4,-69.4408,13274.6,-244.753,-235.786,-18.512,-311.114
1167530,478099,388377,3304950,1533880,185757,7250.92,1655.4,24699,67.248,350.733,536.011,-794.262
556166,373562,197073,1246620,831846,132213,2657.45,144.19,8500.45,-187.67,-257.656,48.5593,132.91
811134,424467,407152,2430960,1283880,214750,5961.37,-494.299,12026,-39.5742,-177.558,-246.555,-185.996
577029,362759,357251,1899870,1067930,207000,7353.71,-197.498,6283.67,130.587,225.879,-473.921,183.263
1104080,558110,318713,2155950,922693,142928,5239.33,24.3493,7826.77,226.665,161.044,-431.736,-85.2189
