FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
767966,416706,447635,3126020,1771260,255613,9101.29,-589.22,-25.7822,0.242859,276221,-1050.49,270.342
881746,488819,446918,3167960,2066760,284913,7201.1,-295.035,-115.486,375.941,114722,-1264.12,-9.97393
542300,366633,268720,1802820,1352640,203302,16439,554.719,138.789,102.214,173747,-437.306,192.929
906553,307707,329273,2778800,1104300,151852,8565.06,102.242,-210.436,529.573,104550,-934.783,134.344
705632,430439,486281,2916540,1961390,327524,18700.2,152.621,-344.277,-132.944,70351.4,849.178,-62.5388
620959,353256,218185,1868240,1160380,132066,3334.15,-91.9455,265.379,509.042,135329,-357.737,537.4
1241850,779345,540318,3413090,1938460,310003,21695,1104.56,156.773,-217.84,47466,394.128,-908.728
485777,336569,156502,1371800,1087910,125635,6270.17,599.023,112.161,-171.547,42264.7,207.63,-705.699
1016590,438701,426544,2688020,1200950,195291,8306.59,-235.306,-11.9735,172.513,21248.2,-145.946,28.7766
1154180,511282,537439,3600410,1994570,307506,11212.6,755.216,194.09,175.281,100087,-345.351,686.336
1031690,585988,482333,3016660,1873730,300782,15256.5,339.23,-136.11,-208.593,107829,96.0786,1741.38
921144,541595,475702,3343390,2000080,274496,10658.2,1313.28,-213.026,504.179,81390.4,-729.555,649.826
615656,419747,229021,1285280,902043,163972,4946.94,-345.115,-321.768,601.941,40507.6,-708.128,-97.6304
858728,401727,375630,2524480,1206300,176166,7358.12,-140.437,6.06284,158.888,149958,-1308.41,229.447
667727,312398,232883,1430100,962675,155183,6118.86,-543.79,241.313,-260.724,4470.58,-38.4219,294.84
806564,472118,544490,3470180,2004100,313152,8651.74,29.9613,296.751,200.387,428398,-1796.81,272.736
611483,400450,262603,1635140,1127270,179315,5612.48,252.318,-27.7089,52.6827,49251.7,-323.188,251.204
1119750,428148,748608,4194300,1918500,299306,15122.2,-791.13,372.977,-430.429,131506,377.948,-135.262
1012840,421918,460712,2618770,1222910,223346,9130.34,-761.112,152.306,-279.366,102512,145.395,966.585
