"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
1.48806e+06,4049.83,1.17842e+06,35280.4,29088.8,24982.5,68173.4,68359.7,9734.88,24154.8,5.03399
642237,1954.64,362658,-4898.34,17213.9,12442.6,11238.1,14326.2,-1562.1,12195.7,5.05384
639290,1982.15,290704,43102.8,17298,5376.81,17434.5,18958.7,93.9872,20813.6,5.06344
299200,1203.98,134719,-1288.72,9469,5519.09,5874.12,15673.3,773.973,3291.01,5.06649
510756,1700.57,160089,17211.9,20732.5,14210.6,35289.2,71049.7,16964.2,20812.7,5.07165
373344,1468.68,162662,-3559.67,7226.1,8459.93,8672.85,7460.49,-4749.4,3897.48,5.07912
332199,1360.73,88148.3,11347.9,3301.51,2233.4,10120.3,15705.3,562.26,7207.99,5.09584
4.13339e+06,7266.61,4.75755e+06,128866,79029.2,-214.497,36217.7,7800.23,59708.4,40333.4,5.09889
8.53774e+06,14687.6,1.9205e+07,9450.39,151951,-6315.67,29218.6,-38010.2,74976.2,37226.3,5.10017
2.59158e+06,4752.74,2.37147e+06,9394.26,58204.7,-2829.83,11413.1,-13058.3,23705.6,14466.7,5.10887
978738,2424.73,297208,13790.7,28415.1,12973.8,30371.8,56684.2,4039.1,11874.5,5.12654
558512,1918.87,143406,-6769.25,9229.55,7836.02,17193.9,12079.6,-2244.42,10241.8,5.1267
509463,1697.99,252030,10563.1,16487.9,11773,10782,14135,965.736,7866.9,5.12749
388713,1348.78,170239,177.238,5586.45,2103.74,5147.39,2157.31,-162.19,2116.05,5.12753
382271,1548.58,230652,319502,16849.9,16849.2,14735.3,51140.4,6353.14,17739.6,5.12996
373448,1486.92,155869,5678.7,4474.95,2894,7978.35,4976.96,888.419,1651.47,5.1318
385122,1337.66,141744,930215,4857.24,3513.31,16196.6,51045.7,8631.77,16463.1,5.13314
819402,2926.52,241864,25107.9,25032.2,10899.6,22845.2,58391.6,-295.552,16568,5.15629
429438,1737.74,417345,12338.5,19357.3,29193.6,22919.7,49199.8,7893.72,15643.8,5.16194
687518,2077.29,260177,2382.91,7962.61,9194.01,28260.3,19967.7,1919.71,6923.04,5.17116
383583,1480.39,161103,-5185.51,11577,14635.1,8128.19,14841,-637.207,13852.5,5.1724
663099,2628.49,154529,8872.31,10586.9,6363.11,15433.1,48141.9,1252.19,18007.7,5.17489
711495,2188.53,263717,15836.7,12512.9,8683.88,12053.8,36609.9,7056.44,25440.4,5.19934
668475,2744.66,290472,43481.1,29391,7540.32,10795,26888.8,2629.97,7875.43,5.20059
1.20526e+06,4215.24,523275,93532.2,85603.4,119043,64904.1,237553,58835.5,89031.5,5.20061
