"FSC-A","FSC-Width","SSC-A","R712-APCA700-A","V450-PB-A","B690-PC5.5-A","Y585-PE-A","Y610-mCHERRY-A","Y763-PC7-A","R660-APC-A","Time"
482076,1645.18,150178,3084.34,7158.14,2460.11,5650.49,19301.3,4802.98,3896.44,1.80701
402680,1584.57,167864,21324.5,7326.32,4764.7,8909.02,28398.3,-152.469,6149.99,1.81101
4.56438e+06,7942.05,2.4381e+07,78763.1,258206,-7639.03,62985.1,-30412,111926,169440,1.82801
648144,2039.59,192214,15015.9,14733.7,13638.6,11101.1,23115.4,53.9882,16342.9,1.84137
1.26105e+06,3248.43,548169,6367.16,21134.4,16464,22325.5,61987.8,6625.06,31799.4,1.84193
485617,1718.76,128212,199.795,9703.48,7984.44,8438.84,14654.4,5108.93,13158.5,1.88315
917064,2617.73,465405,-4605.28,22436.1,26321.2,24379.6,44559,-681.009,25541.1,1.90338
463977,1698.28,145625,3460.97,5578.91,2865.29,8725.92,18869.8,11187.3,6283.87,1.90534
2.41447e+06,4532.22,1.34615e+07,36251.9,114455,115.507,32808.4,35.411,49230.1,84633.6,1.92028
399197,1505.65,103460,1210.2,8662.1,4249.82,6202.65,21246.9,305.397,6243.86,2.00214
559349,1843.71,198998,-3461.31,24631.5,12225.4,13993,62016.8,-574.305,12495.7,2.01016
397992,1524.78,113197,581.155,7183.18,4309.89,8910.85,10517.1,1669.34,5135.62,2.03615
609256,1848.68,270483,-1492.1,15445.4,19019.8,12692.9,35077.5,-2447.5,11006.2,2.04983
431197,1631.24,123321,6595.35,14111.4,9594.04,11648.5,50935.5,1378.09,11284.5,2.07897
323760,1327.23,70022.3,3142.57,8715.53,3407.22,14159.7,19659.3,874.927,5632.55,2.09861
466449,1780.28,113891,5842.16,12097.3,21999.1,13931.4,35629.5,-163.111,17752.2,2.14964
637681,1898.48,213645,-2073.98,17620.3,10540.5,12933.7,23749.8,6027.83,13232.4,2.24306
423060,1464.19,118356,-8096.69,5265.07,10975.7,8268.08,14986.5,-2805.37,10106.4,2.26407
374806,1383.73,108981,-59.2354,2466.07,1690.82,4980.22,594.32,-169.999,2167.3,2.33987
646084,1870.84,234181,41392,30014.4,28765.6,19993.8,55777.5,3871.5,19704.1,2.38892
289058,1176.6,107837,-1146.77,1954.81,1380.75,5109.75,644.106,58.2174,2664.28,2.39238
353024,1380.52,76901.6,-286.229,6039.75,1755.03,9152.78,7493.62,382.22,5480.47,2.4549
1.63977e+06,3954.24,945498,19588.6,94245.2,55769,78806.6,181671,26836.1,71249.4,2.4864
1.1177e+06,3021.06,457935,-740.334,47701.8,19561.7,43804,93452.5,623.966,29060,2.60275
9.31258e+06,15955.6,1.30616e+07,12093.7,162343,-5555.88,21930,-29146.2,57884.5,12098.4,2.645
530972,1814.71,211725,17651.6,16700.3,16605.8,15533.7,104104,6105.49,14994.3,2.73956
366314,1503.6,127254,20905.8,3560.75,3159.08,7877.81,58539.2,3408.34,11301.2,2.73956
1.30609e+06,4229.62,444101,25007.6,52631.8,24645.6,34474.5,137752,12960.7,21037.3,2.73974
567969,1873.37,328979,-7100.75,16159.8,16215.2,15873.1,42053.8,5366.64,13780.7,2.75052
905046,3026.28,685450,25959,41955.9,36194.6,32460.9,138159,11923.8,41797.5,2.76039
503704,1741.36,208684,-20663.5,15307.9,16222.4,10623,17966.5,-4701.97,11392.2,2.77299
380963,1519.05,119636,5419.77,7441.15,3715.51,13361.7,12627,2370.6,4056.9,2.77301
543632,1737.02,236344,4403.27,12180.3,5695.1,18406.2,26843.4,3212.15,7400.48,2.77905
329132,1275.55,97135.1,4796.76,14625.9,11214.1,8691.5,31036.9,5396.65,10182.8,2.80831
