FSC-A,FSC-H,SSC-A,SSC-B-A,SSC-B-H,SSC-H,Comp-AF-A,Comp-AF594-A,Comp-Alexa Fluor 647-A,Comp-Dylight 680-A,Comp-PE-Cy7-A,Comp-PerCP-eFluor 710-A,Comp-eFluor 450-A
770719,434312,434918,2641720,1461130,243820,4635.96,20263.9,-138.758,44.149,-345.72,-385.541,90.0238
1111600,458943,382543,3302540,1514950,186285,4480.14,20853.3,-191.649,642.219,248.055,-405.273,654.89
886114,382510,447880,2341180,1145090,220037,7511.84,16803.2,304.078,-470.087,104.516,225.568,-189.419
1542790,836899,778183,4194300,3178880,365671,10246.1,24411.7,774.378,-334.86,-107.324,567.394,-365.348
1374570,659660,599562,3839190,2037180,322310,9653.71,20418.8,-237.674,157.783,47.4399,-625.993,-46.7449
1493790,752677,648826,3636210,1962840,365765,22140.5,23906.2,-643.169,-51.1909,-608.523,42.1998,132.452
1266610,548256,604807,3729180,1346960,218657,11606.9,19395.6,138.606,-191.666,-366.635,-65.3863,-301.909
996517,457384,500876,3617010,1713010,240041,18535.8,13093.8,-174.981,-135.366,119.637,723.409,-1020.81
483877,282478,117937,557410,299318,62005,1157.36,5847.47,53.0079,-125.017,-129.441,-0.277432,-91.6829
1103440,600498,402481,1967050,1335180,272532,7309.89,10931.7,-233.218,-160.882,107.64,-205.255,428.161
634541,352292,122014,693318,412351,71674,985.322,13683.7,-683.371,594.537,-95.3631,-119.399,254.59
841018,519041,397999,3143990,1719360,208660,8538.14,8268.63,149.118,-375.657,26.6721,16.1289,-64.0157
550951,378996,364157,2184950,1376000,232505,6613.33,7809.41,-201.762,62.901,65.4099,-140.572,-505.275
1092220,556126,659260,3219370,1668870,340108,11295,9236.05,46.5501,-362.89,85.1309,-322.458,-118.563
857955,454838,281740,2276470,1391090,170435,4935.76,15945.5,-73.5065,183.967,557.477,-214.033,-247.819
900898,382632,469357,2645590,1218090,224190,6534.38,7315.96,26.7699,306.494,92.9705,-381.504,205.726
1027650,682336,257786,1935660,1245860,164454,4849.77,17295.1,-293.772,-73.0801,146.955,-14.6991,-651.079
573864,373349,267587,2140000,1474460,187892,5013.22,17135.1,186.6,-180.262,-399.478,317.899,-716.157
847880,382447,394266,2318080,982859,174222,5912.86,18048.4,307.819,-88.6134,-688.556,-388.143,-556.4
502152,246472,290759,2140920,1309800,184316,4272.67,10650.7,124.111,176.202,234.208,-119.175,-143.065
1229370,582602,424997,2821420,1564860,238606,5569.88,12052.6,-44.6866,-247.404,165.427,-477.966,210.177
379458,244489,363637,2472520,1665740,240120,13801.1,2007.29,300.714,-390.404,-121.777,-81.8828,-1301.32
568707,409176,171787,1075810,911873,146559,4191.75,9234.63,212.074,-60.4459,-255.857,-39.6707,-329.929
1392240,646916,784110,4194300,2716810,461755,16520.4,12789.1,144.058,-323.819,-55.5239,-138.058,639.636
614547,421732,268646,2247830,1504160,174962,5127.01,19107.9,166.367,38.4146,11.6349,-264.042,309.338
885435,397138,419301,2501950,1262660,201651,7866.96,8356.05,262.343,-490.936,-402.925,-133.276,79.2348
919928,452140,304274,1489790,818156,156900,4501.85,9267.19,409.703,-605.761,-423.442,516.18,544.386
1102890,435985,500534,2688700,1024570,189615,11216,18648.4,-76.4512,234.239,-507.09,-127.155,402.02
816315,300103,546440,3342550,1660790,270495,12204.2,12746.9,117.092,-195.431,-167.201,-364.555,59.3576
1178130,516495,402986,1942250,1019540,216531,9011.44,6730.59,-200.62,180.941,-47.6852,335.142,429.132
894034,522650,433828,2776880,1654870,257600,6007.3,8779.99,167.879,44.0031,-178.647,-506.198,-603.469
992555,558542,596759,3370460,1843780,337227,13552.5,9097.33,-172.646,232.156,-20.5006,-6.53843,326.487
681790,467397,390819,2218500,1657720,293482,9773.1,1836.62,373.963,-192.504,-132.619,151.881,-675.643
656559,396488,264464,2230620,1393090,162588,4204.83,10133.2,-104.109,239.137,-140.607,388.686,-109.668
1001080,551298,364838,3461480,1704420,170820,6413.99,15819.7,158.578,-286.031,123.454,196.858,-347.264
733361,476083,341620,1885290,1176510,210145,5883.15,5045.23,-244.216,393.347,9.21523,-195.227,-384.05
1146500,547515,792060,4194300,2328700,404998,16346.6,7726.04,1.28506,-123.616,225.123,165.055,235.603
1003980,504305,267353,1689050,862104,138597,3924.87,8853.42,76.665,-437.428,-57.502,250.817,-250.591
811184,496706,310358,2488010,1330620,171493,6327.03,12993.4,172.066,-504.823,114.395,230.594,-432.509
1062130,553070,293152,1495080,802531,164949,4147.27,14477.9,328.913,-281.223,-200.544,9.04476,-660.467
824165,476215,518633,3255190,1752290,272838,15406.7,22393,-74.8288,-534.221,-21.4656,495.056,-66.2263
1045590,584472,456844,3517820,1902180,254506,7967.12,19469.3,215.835,-287.497,-549.362,376.458,697.462
1157370,452432,531837,3086410,1236570,219150,10556.6,9107.78,525.964,-61.5462,20.4792,-286.739,-48.4778
921111,629499,252814,1484980,993317,171298,3628.22,19470.6,-37.3533,-418.447,68.2847,102.344,168.616
1180640,629340,781380,4194300,1826720,340349,22147.9,12212.7,-568.166,226.572,-630.935,-582.888,776.078
949361,338675,640840,4054510,1718270,279794,11784.4,4478.16,-863.041,-175.979,-561.523,169.422,-121.2
783366,370409,460195,2676180,1606830,275115,16773.2,22852.9,-827.782,596.468,-576.732,-173.444,-89.9766
911330,530734,432312,2615390,1520690,251843,5852.71,15364.7,-518.212,504.723,-476.521,-749.627,-54.6975
537645,376505,257324,1518320,1087460,176948,7061.22,8405.86,-138.052,219.326,-303.806,-230.106,153.269
411914,272475,203334,1657420,1173560,145082,2748.39,12592.9,-131.533,285.887,28.3428,-458.8,-117.623
708834,334189,458654,2639260,1556890,270984,6291.07,7730.31,-337.741,-62.569,-223.48,-253.571,239.227
837706,451000,359436,2045780,1111500,191303,5908.42,15691,51.2511,119.583,-95.7029,-208.012,-552.186
796079,481149,264168,1580710,1072310,176231,3054.56,12125.8,64.5143,82.6033,-422.573,-203.433,182.976
925840,500219,482924,2883710,1672630,274083,9944.03,16872.5,47.0183,434.356,-161.762,-175.84,-658.425
1643120,827958,701133,3382020,1893950,386721,10941.5,24360.8,-227.595,360.714,-803.413,-350.285,248.052
1132530,478070,633881,3681250,1559080,263626,14316.4,11406.6,294.73,-89.5099,-33.4103,-110.576,137.4
1503490,792713,623999,3934340,2053950,329748,13298.8,10977.7,-590.475,260.785,-908.921,64.543,-33.8976
574907,344120,235617,1186780,746036,154255,2853.45,8893.35,-206.39,123.273,220.719,-180.42,355.657
870418,549534,325249,2071080,1190500,180629,5418.34,11876.5,295.274,-435.978,289.662,416.112,-382.48
546169,388142,146011,845999,702331,122953,1594.16,8657.98,224.142,-24.0898,-124.347,-326.847,349.17
699332,362250,439096,2625420,1821040,303227,9005.81,19162.6,-46.5704,-180.934,-665.748,126.157,-437.339
1157990,598663,679113,4194300,2331530,369493,13186.8,10456.8,-233.106,87.3336,-131.571,-218.941,-262.831
607009,442285,195798,1212050,979046,158464,6469.79,1835.55,-160.757,441.027,61.3291,-192.067,357.135
952960,553598,388805,2969440,1671450,216457,5113.03,13145.3,472.575,-117.898,-279.655,-248.808,-325.673
1059340,571957,397781,2433360,1453130,243283,6772.11,8646.05,-224.716,215.381,-372.023,-138.327,-19.902
845108,414408,372859,2012720,939161,181906,5282.39,15712.7,-402.716,299.217,-119.682,-211.131,-178.212
